delegacion,ano,detecciones,fecha,fn_ano
     Aguascalientes,2000,333585,2000-01-01,2000.0
     Baja California,2000,599440,2000-01-01,2000.0
     Baja California Sur,2000,120869,2000-01-01,2000.0
     Campeche,2000,171825,2000-01-01,2000.0
     Coahuila ,2000,745542,2000-01-01,2000.0
     Colima,2000,205250,2000-01-01,2000.0
     Chiapas,2000,349105,2000-01-01,2000.0
     Chihuahua,2000,1110899,2000-01-01,2000.0
     D.F. Norte,2000,1380968,2000-01-01,2000.0
     D.F. Sur,2000,1596973,2000-01-01,2000.0
     Durango,2000,434136,2000-01-01,2000.0
     Guanajuato,2000,1086144,2000-01-01,2000.0
     Guerrero,2000,303844,2000-01-01,2000.0
     Hidalgo,2000,252421,2000-01-01,2000.0
     Jalisco,2000,1759419,2000-01-01,2000.0
     México Oriente,2000,1462565,2000-01-01,2000.0
     México Poniente,2000,801766,2000-01-01,2000.0
     Michoacán,2000,646308,2000-01-01,2000.0
     Morelos,2000,345003,2000-01-01,2000.0
     Nayarit,2000,187011,2000-01-01,2000.0
     Nuevo León,2000,1567000,2000-01-01,2000.0
     Oaxaca,2000,323591,2000-01-01,2000.0
     Puebla,2000,813044,2000-01-01,2000.0
     Querétaro,2000,338199,2000-01-01,2000.0
     Quintana Roo,2000,295490,2000-01-01,2000.0
     San Luis Potosí,2000,388570,2000-01-01,2000.0
     Sinaloa,2000,894715,2000-01-01,2000.0
     Sonora,2000,728607,2000-01-01,2000.0
     Tabasco,2000,234520,2000-01-01,2000.0
     Tamaulipas,2000,972952,2000-01-01,2000.0
     Tlaxcala,2000,184676,2000-01-01,2000.0
     Veracruz Norte,2000,725425,2000-01-01,2000.0
     Veracruz Sur,2000,719119,2000-01-01,2000.0
     Yucatán,2000,484415,2000-01-01,2000.0
     Zacatecas,2000,249511,2000-01-01,2000.0
     Aguascalientes,2001,325635,2001-01-01,2001.0
     Baja California,2001,611923,2001-01-01,2001.0
     Baja California Sur,2001,124284,2001-01-01,2001.0
     Campeche,2001,182152,2001-01-01,2001.0
     Coahuila ,2001,835515,2001-01-01,2001.0
     Colima,2001,209116,2001-01-01,2001.0
     Chiapas,2001,329757,2001-01-01,2001.0
     Chihuahua,2001,1079374,2001-01-01,2001.0
     D.F. Norte,2001,1175174,2001-01-01,2001.0
     D.F. Sur,2001,1583305,2001-01-01,2001.0
     Durango,2001,457791,2001-01-01,2001.0
     Guanajuato,2001,1024105,2001-01-01,2001.0
     Guerrero,2001,312884,2001-01-01,2001.0
     Hidalgo,2001,223182,2001-01-01,2001.0
     Jalisco,2001,1684515,2001-01-01,2001.0
     México Oriente,2001,1435681,2001-01-01,2001.0
     México Poniente,2001,884240,2001-01-01,2001.0
     Michoacán,2001,616583,2001-01-01,2001.0
     Morelos,2001,321757,2001-01-01,2001.0
     Nayarit,2001,211704,2001-01-01,2001.0
     Nuevo León,2001,1558403,2001-01-01,2001.0
     Oaxaca,2001,333586,2001-01-01,2001.0
     Puebla,2001,721139,2001-01-01,2001.0
     Querétaro,2001,311803,2001-01-01,2001.0
     Quintana Roo,2001,244617,2001-01-01,2001.0
     San Luis Potosí,2001,417407,2001-01-01,2001.0
     Sinaloa,2001,790763,2001-01-01,2001.0
     Sonora,2001,675044,2001-01-01,2001.0
     Tabasco,2001,234398,2001-01-01,2001.0
     Tamaulipas,2001,913449,2001-01-01,2001.0
     Tlaxcala,2001,206215,2001-01-01,2001.0
     Veracruz Norte,2001,625878,2001-01-01,2001.0
     Veracruz Sur,2001,589806,2001-01-01,2001.0
     Yucatán,2001,403174,2001-01-01,2001.0
     Zacatecas,2001,247523,2001-01-01,2001.0
     Aguascalientes,2002,305102,2002-01-01,2002.0
     Baja California,2002,542272,2002-01-01,2002.0
     Baja California Sur,2002,116003,2002-01-01,2002.0
     Campeche,2002,173718,2002-01-01,2002.0
     Coahuila ,2002,819481,2002-01-01,2002.0
     Colima,2002,144227,2002-01-01,2002.0
     Chiapas,2002,304832,2002-01-01,2002.0
     Chihuahua,2002,945867,2002-01-01,2002.0
     D.F. Norte,2002,1103430,2002-01-01,2002.0
     D.F. Sur,2002,1514595,2002-01-01,2002.0
     Durango,2002,377107,2002-01-01,2002.0
     Guanajuato,2002,835058,2002-01-01,2002.0
     Guerrero,2002,383977,2002-01-01,2002.0
     Hidalgo,2002,221309,2002-01-01,2002.0
     Jalisco,2002,1322167,2002-01-01,2002.0
     México Oriente,2002,1390391,2002-01-01,2002.0
     México Poniente,2002,790295,2002-01-01,2002.0
     Michoacán,2002,482495,2002-01-01,2002.0
     Morelos,2002,281372,2002-01-01,2002.0
     Nayarit,2002,164779,2002-01-01,2002.0
     Nuevo León,2002,1558130,2002-01-01,2002.0
     Oaxaca,2002,280501,2002-01-01,2002.0
     Puebla,2002,593066,2002-01-01,2002.0
     Querétaro,2002,289699,2002-01-01,2002.0
     Quintana Roo,2002,218957,2002-01-01,2002.0
     San Luis Potosí,2002,481265,2002-01-01,2002.0
     Sinaloa,2002,661202,2002-01-01,2002.0
     Sonora,2002,590662,2002-01-01,2002.0
     Tabasco,2002,242438,2002-01-01,2002.0
     Tamaulipas,2002,881562,2002-01-01,2002.0
     Tlaxcala,2002,200084,2002-01-01,2002.0
     Veracruz Norte,2002,563171,2002-01-01,2002.0
     Veracruz Sur,2002,525200,2002-01-01,2002.0
     Yucatán,2002,398429,2002-01-01,2002.0
     Zacatecas,2002,211862,2002-01-01,2002.0
     Aguascalientes,2003,364001,2003-01-01,2003.0
     Baja California,2003,762880,2003-01-01,2003.0
     Baja California Sur,2003,130748,2003-01-01,2003.0
     Campeche,2003,209813,2003-01-01,2003.0
     Coahuila ,2003,1108326,2003-01-01,2003.0
     Colima,2003,163802,2003-01-01,2003.0
     Chiapas,2003,366622,2003-01-01,2003.0
     Chihuahua,2003,1075516,2003-01-01,2003.0
     D.F. Norte,2003,1501682,2003-01-01,2003.0
     D.F. Sur,2003,1648647,2003-01-01,2003.0
     Durango,2003,462327,2003-01-01,2003.0
     Guanajuato,2003,1077160,2003-01-01,2003.0
     Guerrero,2003,418141,2003-01-01,2003.0
     Hidalgo,2003,507397,2003-01-01,2003.0
     Jalisco,2003,1581599,2003-01-01,2003.0
     México Oriente,2003,1533009,2003-01-01,2003.0
     México Poniente,2003,1265499,2003-01-01,2003.0
     Michoacán,2003,699502,2003-01-01,2003.0
     Morelos,2003,353426,2003-01-01,2003.0
     Nayarit,2003,165234,2003-01-01,2003.0
     Nuevo León,2003,2082734,2003-01-01,2003.0
     Oaxaca,2003,254208,2003-01-01,2003.0
     Puebla,2003,719091,2003-01-01,2003.0
     Querétaro,2003,642584,2003-01-01,2003.0
     Quintana Roo,2003,317063,2003-01-01,2003.0
     San Luis Potosí,2003,517138,2003-01-01,2003.0
     Sinaloa,2003,782359,2003-01-01,2003.0
     Sonora,2003,739604,2003-01-01,2003.0
     Tabasco,2003,263480,2003-01-01,2003.0
     Tamaulipas,2003,901596,2003-01-01,2003.0
     Tlaxcala,2003,184951,2003-01-01,2003.0
     Veracruz Norte,2003,790192,2003-01-01,2003.0
     Veracruz Sur,2003,738148,2003-01-01,2003.0
     Yucatán,2003,513179,2003-01-01,2003.0
     Zacatecas,2003,218496,2003-01-01,2003.0
     Aguascalientes,2004*,689145,2004-01-01,
     Baja California,2004*,1580807,2004-01-01,
     Baja California Sur,2004*,530911,2004-01-01,
     Campeche,2004*,447213,2004-01-01,
     Coahuila ,2004*,2379094,2004-01-01,
     Colima,2004*,381971,2004-01-01,
     Chiapas,2004*,638815,2004-01-01,
     Chihuahua,2004*,2309552,2004-01-01,
     D.F. Norte,2004*,3016811,2004-01-01,
     D.F. Sur,2004*,2389796,2004-01-01,
     Durango,2004*,880722,2004-01-01,
     Guanajuato,2004*,2233218,2004-01-01,
     Guerrero,2004*,714065,2004-01-01,
     Hidalgo,2004*,797722,2004-01-01,
     Jalisco,2004*,3699948,2004-01-01,
     México Oriente,2004*,3532736,2004-01-01,
